읍면동명,남,미상,여
당산동1가,205.0,115.0,149.0
당산동2가,100.0,49.0,76.0
당산동3가,298.0,215.0,275.0
당산동4가,143.0,92.0,156.0
당산동5가,185.0,126.0,239.0
당산동6가,133.0,142.0,121.0
당인동,17.0,9.0,26.0
당주동,49.0,19.0,37.0
대림동,1465.0,1263.0,1148.0
대방동,722.0,293.0,620.0
대신동,130.0,80.0,142.0
대조동,680.0,487.0,621.0
대치동,1298.0,1002.0,1250.0
대현동,147.0,125.0,192.0
대흥동,285.0,227.0,319.0
도곡동,790.0,565.0,818.0
도렴동,12.0,9.0,11.0
도림동,345.0,284.0,321.0
도봉동,1458.0,604.0,1142.0
도선동,151.0,76.0,125.0
도원동,62.0,48.0,101.0
도화동,422.0,358.0,475.0
독산동,2362.0,1996.0,1856.0
돈암동,575.0,285.0,584.0
돈의동,298.0,86.0,47.0
동교동,333.0,324.0,361.0
동빙고동,66.0,64.0,83.0
동선동1가,95.0,89.0,92.0
동선동2가,32.0,34.0,47.0
동선동3가,38.0,31.0,44.0
동선동4가,80.0,55.0,66.0
동선동5가,40.0,19.0,37.0
동소문동1가,34.0,18.0,31.0
동소문동2가,36.0,29.0,23.0
동소문동3가,36.0,21.0,20.0
동소문동4가,48.0,24.0,40.0
동소문동5가,68.0,39.0,59.0
동소문동6가,42.0,51.0,56.0
동소문동7가,34.0,30.0,39.0
동숭동,134.0,89.0,165.0
동자동,599.0,646.0,204.0
동작동,148.0,130.0,151.0
둔촌동,514.0,281.0,415.0
등촌동,1908.0,1006.0,1811.0
마곡동,1218.0,753.0,1124.0
마장동,486.0,232.0,383.0
마천동,1157.0,742.0,926.0
마포동,78.0,261.0,66.0
만리동1가,38.0,31.0,23.0
만리동2가,42.0,30.0,50.0
망우동,1589.0,611.0,1231.0
망원동,808.0,606.0,820.0
면목동,3481.0,1441.0,2827.0
명동1가,35.0,16.0,18.0
