읍면동명,가을,겨울,봄,여름
노고산동,142.0,106.0,114.0,148.0
노량진동,499.0,357.0,416.0,430.0
녹번동,354.0,334.0,329.0,398.0
논현동,871.0,690.0,698.0,806.0
누상동,33.0,24.0,34.0,25.0
누하동,11.0,11.0,12.0,9.0
능동,168.0,106.0,127.0,156.0
다동,20.0,22.0,23.0,28.0
답십리동,600.0,510.0,537.0,639.0
당산동,98.0,48.0,68.0,82.0
당산동1가,86.0,76.0,76.0,83.0
당산동2가,46.0,35.0,32.0,57.0
당산동3가,146.0,123.0,128.0,144.0
당산동4가,86.0,42.0,68.0,90.0
당산동5가,92.0,92.0,102.0,119.0
당산동6가,69.0,46.0,64.0,63.0
당인동,5.0,6.0,13.0,18.0
당주동,25.0,19.0,29.0,13.0
대림동,726.0,530.0,560.0,638.0
대방동,364.0,267.0,330.0,356.0
대신동,110.0,71.0,37.0,49.0
대조동,373.0,274.0,273.0,341.0
대치동,686.0,508.0,615.0,674.0
대현동,81.0,69.0,81.0,98.0
대흥동,175.0,118.0,139.0,162.0
도곡동,419.0,383.0,337.0,439.0
도렴동,10.0,2.0,5.0,6.0
도림동,166.0,128.0,148.0,187.0
도봉동,676.0,549.0,566.0,722.0
도선동,61.0,68.0,68.0,73.0
도원동,50.0,33.0,41.0,37.0
도화동,235.0,190.0,210.0,246.0
독산동,1176.0,919.0,944.0,1040.0
돈암동,297.0,257.0,286.0,307.0
돈의동,107.0,59.0,69.0,71.0
동교동,206.0,116.0,189.0,160.0
동빙고동,39.0,37.0,26.0,39.0
동선동1가,56.0,44.0,29.0,54.0
동선동2가,23.0,17.0,21.0,17.0
동선동3가,26.0,19.0,19.0,19.0
동선동4가,28.0,37.0,25.0,54.0
동선동5가,24.0,14.0,12.0,25.0
동소문동1가,19.0,14.0,19.0,12.0
동소문동2가,13.0,11.0,14.0,20.0
동소문동3가,14.0,16.0,6.0,16.0
동소문동4가,24.0,21.0,21.0,22.0
동소문동5가,31.0,26.0,35.0,34.0
동소문동6가,33.0,19.0,24.0,21.0
동소문동7가,26.0,19.0,9.0,18.0
동숭동,75.0,64.0,82.0,71.0
동자동,174.0,171.0,189.0,215.0
동작동,85.0,60.0,58.0,86.0
둔촌동,222.0,226.0,208.0,249.0
등촌동,978.0,775.0,852.0,996.0
마곡동,657.0,434.0,517.0,635.0
마장동,223.0,194.0,215.0,220.0
마천동,557.0,438.0,449.0,578.0
마포동,26.0,29.0,36.0,41.0
만리동1가,22.0,11.0,10.0,16.0
만리동2가,38.0,18.0,16.0,20.0
망우동,745.0,631.0,659.0,727.0
망원동,422.0,341.0,375.0,457.0
면목동,1567.0,1470.0,1497.0,1650.0
명동1가,18.0,11.0,12.0,8.0
명동2가,20.0,15.0,16.0,14.0
명륜1가,44.0,30.0,38.0,49.0
명륜2가,39.0,21.0,31.0,35.0
명륜3가,56.0,45.0,48.0,46.0
명륜4가,24.0,19.0,29.0,29.0
명일동,340.0,269.0,283.0,331.0
목동,1306.0,1020.0,976.0,1197.0
묘동,48.0,30.0,50.0,62.0
무교동,8.0,9.0,10.0,6.0
무악동,88.0,72.0,59.0,94.0
무학동,30.0,10.0,24.0,38.0
묵동,520.0,467.0,418.0,535.0
묵정동,6.0,6.0,12.0,9.0
문래동1가,22.0,14.0,12.0,22.0
문래동2가,15.0,15.0,14.0,22.0
문래동3가,160.0,139.0,112.0,149.0
문래동4가,16.0,12.0,9.0,14.0
문래동5가,31.0,27.0,29.0,32.0
문래동6가,60.0,56.0,43.0,65.0
문배동,23.0,21.0,25.0,34.0
문정동,514.0,466.0,474.0,507.0
미근동,21.0,27.0,22.0,24.0
미아동,1670.0,1388.0,1529.0,1762.0
반포동,858.0,599.0,625.0,812.0
방배동,824.0,777.0,792.0,840.0
방산동,10.0,7.0,5.0,4.0
방이동,565.0,457.0,478.0,517.0
방학동,940.0,770.0,848.0,977.0
방화동,796.0,749.0,758.0,902.0
번동,816.0,761.0,726.0,898.0
보광동,145.0,130.0,138.0,163.0
보문동1가,9.0,15.0,10.0,13.0
보문동2가,20.0,19.0,18.0,31.0
보문동3가,20.0,14.0,20.0,28.0
보문동4가,8.0,12.0,16.0,17.0
보문동5가,33.0,25.0,17.0,24.0
보문동6가,33.0,31.0,46.0,44.0
보문동7가,24.0,21.0,28.0,25.0
본동,118.0,83.0,102.0,102.0
봉래동1가,7.0,3.0,12.0,3.0
봉래동2가,87.0,124.0,72.0,91.0
봉원동,7.0,6.0,5.0,7.0
봉익동,9.0,5.0,7.0,12.0
봉천동,2409.0,2000.0,2095.0,2543.0
부암동,52.0,37.0,37.0,35.0
북가좌동,450.0,430.0,427.0,449.0
북아현동,302.0,266.0,254.0,297.0
북창동,22.0,46.0,39.0,58.0
불광동,685.0,587.0,621.0,670.0
사간동,2.0,3.0,3.0,4.0
사근동,100.0,112.0,80.0,68.0
사당동,890.0,896.0,847.0,938.0
사직동,34.0,32.0,31.0,34.0
산림동,4.0,7.0,4.0,6.0
산천동,28.0,35.0,28.0,28.0
삼각동,0.0,1.0,5.0,3.0
삼선동1가,45.0,40.0,47.0,59.0
삼선동2가,36.0,43.0,43.0,43.0
삼선동3가,35.0,31.0,19.0,36.0
삼선동4가,44.0,31.0,41.0,33.0
삼선동5가,34.0,34.0,52.0,51.0
삼성동,598.0,431.0,482.0,648.0
삼전동,266.0,207.0,230.0,278.0
삼청동,16.0,17.0,25.0,9.0
상계동,2087.0,1753.0,1949.0,2097.0
상도1동,97.0,68.0,100.0,86.0
상도동,1002.0,817.0,897.0,1003.0
상봉동,616.0,512.0,531.0,593.0
상수동,93.0,64.0,59.0,79.0
